,,,,,,,,,,
,,,,,,,,,,
,,Year,City,Industry,Qtr 1 Wages,Qtr 2 Wages,Qtr 3 Wages,Qtr 4 Wages,Total Annual Wages,Confidential
,,2005,Rancho Mirage,"Arts, Entertainment, and Recreation",6978156,6296213,4596323,6341996,24212688,
,,2005,Rancho Mirage,Accommodation and Food Services,11187364,11257710,9613041,10831753,42889868,
,,2005,Rancho Mirage,Other Services (except Public Administration),1981358,2040538,2221579,2128917,8372392,
,,2005,Rancho Mirage,Federal Government,*****,*****,*****,*****,*****,/1/
,,2005,Rancho Mirage,Local Government,*****,*****,*****,*****,*****,/1/
,,2006,Cathedral City,Utilities,*****,*****,*****,*****,*****,/1/
,,2006,Cathedral City,Construction,7441236,9010482,10635527,7791838,34879083,
,,2006,Cathedral City,Manufacturing,1480440,1801358,1688007,1808312,6778117,
,,2006,Cathedral City,Wholesale Trade,1273267,1299097,1573913,1218488,5364765,
,,2006,Cathedral City,Retail Trade,17312087,16621221,24610296,17565512,76109116,
,,2006,Cathedral City,Transportation and Warehousing,225958,212447,267683,324250,1030338,
,,2006,Cathedral City,Information,676738,711579,932124,441856,2762297,
,,2006,Cathedral City,Finance and Insurance,404173,483218,1084311,397787,2369489,
,,2006,Cathedral City,Real Estate and Rental and Leasing,1165451,1348940,1964196,1483600,5962187,
,,2006,Cathedral City,"Professional, Scientific, and Technical Services",1235167,1103581,1540628,1138113,5017489,
,,2006,Cathedral City,Management of Companies and Enterprises,*****,*****,*****,*****,*****,/1/
,,2006,Cathedral City,Administrative and Support and Waste Management and Remediation Services,1565712,1711460,2915537,1587201,7779910,
,,2006,Cathedral City,Educational Services,*****,*****,*****,*****,*****,/1/
,,2006,Cathedral City,Health Care and Social Assistance,2260111,2407294,3262784,2047301,9977490,
,,2006,Cathedral City,"Arts, Entertainment, and Recreation",1001763,964961,1458158,515678,3940560,
,,2006,Cathedral City,Accommodation and Food Services,4968714,5121192,5757002,5406841,21253749,
,,2006,Cathedral City,Other Services (except Public Administration),3907274,4171014,4748062,4267215,17093565,
,,2006,Cathedral City,Federal Government,*****,*****,*****,*****,*****,/1/
,,2006,Cathedral City,Local Government,15877687,14389277,10701418,11941491,52909873,
,,2006,Coachella,"Agriculture, Forestry, Fishing and Hunting",7915198,9803956,6531800,7150372,31401326,
,,2006,Coachella,Construction,9532982,7556558,9749327,11121560,37960427,
,,2006,Coachella,Manufacturing,5457967,6253185,5431981,6822414,23965547,
,,2006,Coachella,Wholesale Trade,2500387,1723345,3054375,1647059,8925166,
,,2006,Coachella,Retail Trade,5346667,5204416,6971984,6239039,23762106,
,,2006,Coachella,Transportation and Warehousing,*****,*****,*****,*****,*****,/1/
,,2006,Coachella,Information,*****,*****,*****,*****,*****,/1/
,,2006,Coachella,Finance and Insurance,235237,200632,185826,133883,755578,
,,2006,Coachella,Real Estate and Rental and Leasing,281374,288734,270728,384282,1225118,
,,2006,Coachella,"Professional, Scientific, and Technical Services",*****,*****,*****,*****,*****,/1/
,,2006,Coachella,Management of Companies and Enterprises,*****,*****,*****,*****,*****,/1/
,,2006,Coachella,Administrative and Support and Waste Management and Remediation Services,46896,65236,96133,74226,282491,
,,2006,Coachella,Health Care and Social Assistance,289775,375647,329949,412887,1408258,
,,2006,Coachella,"Arts, Entertainment, and Recreation",*****,*****,*****,*****,*****,/1/
,,2006,Coachella,Accommodation and Food Services,734329,899699,1205949,962805,3802782,
,,2006,Coachella,Other Services (except Public Administration),582375,622351,753821,683918,2642465,
,,2006,Coachella,Federal Government,*****,*****,*****,*****,*****,/1/
,,2006,Coachella,Local Government,27460265,25643824,22893995,25334449,101332533,
,,2006,Desert Hot Spr,"Agriculture, Forestry, Fishing and Hunting",*****,*****,*****,*****,*****,/1/
,,2006,Desert Hot Spr,"Mining, Quarrying, and Oil and Gas Extraction",*****,*****,*****,*****,*****,/1/
,,2006,Desert Hot Spr,Utilities,*****,*****,*****,*****,*****,/1/
,,2006,Desert Hot Spr,Construction,2011722,2218099,4360982,1479582,10070385,
,,2006,Desert Hot Spr,Manufacturing,*****,*****,*****,*****,*****,/1/
,,2006,Desert Hot Spr,Wholesale Trade,*****,*****,*****,*****,*****,/1/
,,2006,Desert Hot Spr,Retail Trade,2636673,2575858,2833756,2807849,10854136,
,,2006,Desert Hot Spr,Transportation and Warehousing,144085,134296,183390,182922,644693,
,,2006,Desert Hot Spr,Information,*****,*****,*****,*****,*****,/1/
,,2006,Desert Hot Spr,Finance and Insurance,635749,713076,856098,686581,2891504,
,,2006,Desert Hot Spr,Real Estate and Rental and Leasing,383453,384813,433114,548990,1750370,
,,2006,Desert Hot Spr,"Professional, Scientific, and Technical Services",76172,75592,113539,76073,341376,
,,2006,Desert Hot Spr,Administrative and Support and Waste Management and Remediation Services,483358,508277,751353,698254,2441242,
,,2006,Desert Hot Spr,Health Care and Social Assistance,1628040,1640582,1637432,1884670,6790724,
,,2006,Desert Hot Spr,"Arts, Entertainment, and Recreation",*****,*****,*****,*****,*****,/1/
,,2006,Desert Hot Spr,Accommodation and Food Services,1800183,1765911,1857819,1793365,7217278,
,,2006,Desert Hot Spr,Other Services (except Public Administration),520761,525791,695212,521718,2263482,
,,2006,Desert Hot Spr,Federal Government,*****,*****,*****,*****,*****,/1/
,,2006,Desert Hot Spr,Local Government,9871780,9540309,6000684,6990025,32402798,
,,2006,Indian Wells,Construction,328703,406125,302753,532603,1570184,
,,2006,Indian Wells,Manufacturing,*****,*****,*****,*****,*****,/1/
,,2006,Indian Wells,Wholesale Trade,33179,31601,235456,76689,376925,
,,2006,Indian Wells,Retail Trade,221129,211401,227993,228202,888725,
,,2006,Indian Wells,Information,*****,*****,*****,*****,*****,/1/
,,2006,Indian Wells,Finance and Insurance,4309093,2526899,5194519,2940384,14970895,
,,2006,Indian Wells,Real Estate and Rental and Leasing,654230,710112,850214,737564,2952120,
,,2006,Indian Wells,"Professional, Scientific, and Technical Services",3211249,3372008,4066791,3804742,14454790,
,,2006,Indian Wells,Administrative and Support and Waste Management and Remediation Services,2535457,2453369,1908337,3094608,9991771,
,,2006,Indian Wells,Health Care and Social Assistance,1078376,1340610,1631382,2117021,6167389,
,,2006,Indian Wells,"Arts, Entertainment, and Recreation",7547195,6606738,4822057,7354784,26330774,
,,2006,Indian Wells,Accommodation and Food Services,11094578,10191783,14978941,10083666,46348968,
,,2006,Indian Wells,Other Services (except Public Administration),836326,869760,892381,1081334,3679801,
,,2006,Indian Wells,Local Government,*****,*****,*****,*****,*****,/1/
,,2006,Indio,"Agriculture, Forestry, Fishing and Hunting",4620898,8175500,7775700,5186899,25758997,
,,2006,Indio,"Mining, Quarrying, and Oil and Gas Extraction",*****,*****,*****,*****,*****,/1/
,,2006,Indio,Utilities,*****,*****,*****,*****,*****,/1/
,,2006,Indio,Construction,45027860,46085420,51940302,42190769,185244351,
,,2006,Indio,Manufacturing,3607442,3978323,5230359,3776088,16592212,
,,2006,Indio,Wholesale Trade,3611777,5986884,5417720,3697117,18713498,
,,2006,Indio,Retail Trade,12823513,13747027,16551098,13557162,56678800,
,,2006,Indio,Transportation and Warehousing,276772,368533,847814,217290,1710409,
,,2006,Indio,Information,*****,*****,*****,*****,*****,/1/
,,2006,Indio,Finance and Insurance,1682423,1592936,2348347,1734893,7358599,
,,2006,Indio,Real Estate and Rental and Leasing,2080092,2299206,4788469,3582865,12750632,
,,2006,Indio,"Professional, Scientific, and Technical Services",4015794,4412967,4800102,4847695,18076558,
,,2006,Indio,Management of Companies and Enterprises,*****,*****,*****,*****,*****,/1/
,,2006,Indio,Administrative and Support and Waste Management and Remediation Services,5860845,6502231,8756139,7343680,28462895,
,,2006,Indio,Educational Services,1018565,1054079,914841,977725,3965210,
,,2006,Indio,Health Care and Social Assistance,5871897,6360335,7644776,8437959,28314967,
