DATE,City,"Agriculture, Forestry, Fishing and Hunting",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Federal Government,Local Government,State Government,Not Elsewhere Classified,"Mining, Quarrying, and Oil and Gas Extraction"
5-Jul,Rancho Mirage,NA,NA,180,33,NA,1111,NA,87,117,117,305,NA,408,NA,1484,572,1851,270,NA,NA,NA,NA,NA
5-Aug,Rancho Mirage,NA,NA,170,32,NA,1079,NA,84,123,121,301,NA,421,NA,1483,557,1806,274,NA,NA,NA,NA,NA
5-Sep,Rancho Mirage,NA,NA,184,32,NA,1105,NA,78,134,122,290,NA,406,NA,1470,565,1952,296,NA,NA,NA,NA,NA
5-Oct,Rancho Mirage,NA,NA,193,35,NA,1129,NA,74,133,123,305,NA,416,NA,1496,596,1949,284,NA,NA,NA,NA,NA
5-Nov,Rancho Mirage,NA,NA,196,32,NA,1165,NA,99,133,125,306,NA,432,NA,1508,963,1974,286,NA,NA,NA,NA,NA
5-Dec,Rancho Mirage,NA,NA,201,32,NA,1195,NA,91,135,121,314,NA,423,NA,1545,995,1940,298,NA,NA,NA,NA,NA
6-Jan,Cathedral City,NA,NA,968,175,131,2191,32,141,61,184,129,NA,347,NA,479,216,1125,625,NA,939,NA,NA,NA
6-Feb,Cathedral City,NA,NA,990,180,130,2146,32,138,57,191,128,NA,346,NA,469,213,1123,636,NA,938,NA,NA,NA
6-Mar,Cathedral City,NA,NA,945,168,136,2176,32,136,53,195,124,NA,341,NA,480,222,1158,647,NA,938,NA,NA,NA
6-Apr,Cathedral City,NA,NA,904,172,133,2125,31,128,54,192,116,NA,384,NA,487,227,1144,632,NA,946,NA,NA,NA
6-May,Cathedral City,NA,NA,976,177,139,2091,30,122,59,194,96,NA,380,NA,475,230,1170,633,NA,947,NA,NA,NA
6-Jun,Cathedral City,NA,NA,985,178,137,2120,28,146,60,193,104,NA,374,NA,492,232,1165,634,NA,951,NA,NA,NA
6-Jul,Cathedral City,NA,NA,1219,189,197,3134,36,148,120,278,152,NA,558,NA,622,321,1402,722,NA,945,NA,NA,NA
6-Aug,Cathedral City,NA,NA,1284,190,191,3089,37,148,122,273,155,NA,547,NA,643,313,1412,729,NA,941,NA,NA,NA
6-Sep,Cathedral City,NA,NA,1258,186,193,3092,38,141,114,281,161,NA,566,NA,653,318,1449,727,NA,940,NA,NA,NA
6-Oct,Cathedral City,NA,NA,831,182,110,2056,30,65,59,192,109,NA,330,NA,360,159,1207,630,NA,966,NA,NA,NA
6-Nov,Cathedral City,NA,NA,866,181,112,2086,30,68,62,196,114,NA,323,NA,365,157,1225,657,NA,969,NA,NA,NA
6-Dec,Cathedral City,NA,NA,816,167,113,2125,30,69,61,193,120,NA,340,NA,363,159,1220,655,NA,970,NA,NA,NA
6-Jan,Coachella,1924,NA,746,580,163,929,NA,NA,24,48,NA,NA,10,NA,75,NA,192,151,NA,2255,NA,NA,NA
6-Feb,Coachella,1655,NA,754,583,164,929,NA,NA,26,45,NA,NA,12,NA,77,NA,215,160,NA,2242,NA,NA,NA
6-Mar,Coachella,2268,NA,711,574,175,928,NA,NA,27,51,NA,NA,12,NA,77,NA,243,162,NA,2256,NA,NA,NA
6-Apr,Coachella,2703,NA,712,572,175,912,NA,NA,25,50,NA,NA,14,NA,75,NA,245,165,NA,2265,NA,NA,NA
6-May,Coachella,2554,NA,684,568,181,907,NA,NA,27,49,NA,NA,15,NA,81,NA,270,160,NA,2259,NA,NA,NA
6-Jun,Coachella,3081,NA,684,580,186,922,NA,NA,28,47,NA,NA,13,NA,84,NA,265,169,NA,2275,NA,NA,NA
6-Jul,Coachella,2071,NA,936,573,183,1073,NA,NA,31,46,NA,NA,15,NA,79,NA,362,199,NA,2297,NA,NA,NA
6-Aug,Coachella,942,NA,888,554,179,1141,NA,NA,31,48,NA,NA,15,NA,77,NA,355,206,NA,2318,NA,NA,NA
6-Sep,Coachella,1094,NA,877,541,183,1153,NA,NA,32,50,NA,NA,16,NA,75,NA,365,206,NA,2324,NA,NA,NA
6-Oct,Coachella,1310,NA,742,535,168,1019,NA,NA,24,47,NA,NA,13,NA,77,NA,287,165,NA,2343,NA,NA,NA
6-Nov,Coachella,1240,NA,742,541,170,1054,NA,NA,22,47,NA,NA,13,NA,78,NA,279,170,NA,2337,NA,NA,NA
6-Dec,Coachella,1729,NA,765,515,167,1056,NA,NA,21,47,NA,NA,12,NA,81,NA,286,175,NA,2337,NA,NA,NA
6-Jan,Desert Hot Springs,NA,NA,302,NA,NA,419,25,NA,79,67,11,NA,104,NA,234,NA,510,145,NA,656,NA,NA,NA
6-Feb,Desert Hot Springs,NA,NA,310,NA,NA,429,27,NA,78,66,12,NA,133,NA,228,NA,492,147,NA,652,NA,NA,NA
6-Mar,Desert Hot Springs,NA,NA,295,NA,NA,443,26,NA,73,65,11,NA,115,NA,226,NA,513,151,NA,655,NA,NA,NA
6-Apr,Desert Hot Springs,NA,NA,289,NA,NA,431,25,NA,72,64,12,NA,90,NA,234,NA,529,156,NA,664,NA,NA,NA
6-May,Desert Hot Springs,NA,NA,325,NA,NA,441,24,NA,81,66,11,NA,116,NA,245,NA,483,156,NA,669,NA,NA,NA
6-Jun,Desert Hot Springs,NA,NA,347,NA,NA,427,27,NA,75,69,10,NA,118,NA,242,NA,485,155,NA,663,NA,NA,NA
6-Jul,Desert Hot Springs,NA,NA,544,NA,NA,495,30,NA,100,92,24,NA,141,NA,246,NA,527,175,NA,666,NA,NA,NA
6-Aug,Desert Hot Springs,NA,NA,522,NA,NA,499,29,NA,107,92,13,NA,140,NA,251,NA,525,182,NA,664,NA,NA,NA
6-Sep,Desert Hot Springs,NA,NA,530,NA,NA,487,31,NA,110,98,23,NA,151,NA,241,NA,511,201,NA,646,NA,NA,NA
6-Oct,Desert Hot Springs,NA,NA,194,NA,NA,434,26,NA,76,56,12,NA,90,NA,251,NA,501,149,NA,644,NA,NA,NA
6-Nov,Desert Hot Springs,NA,NA,182,NA,NA,441,25,NA,78,55,13,NA,89,NA,253,NA,528,152,NA,643,NA,NA,NA
6-Dec,Desert Hot Springs,NA,NA,190,NA,NA,463,25,NA,76,58,17,NA,89,NA,258,NA,531,157,NA,644,NA,NA,NA
6-Jan,Indian Wells,NA,NA,30,NA,2,42,NA,NA,95,65,161,NA,283,NA,91,824,1455,121,NA,NA,NA,NA,NA
6-Feb,Indian Wells,NA,NA,29,NA,2,41,NA,NA,97,62,163,NA,286,NA,96,840,1460,121,NA,NA,NA,NA,NA
6-Mar,Indian Wells,NA,NA,29,NA,2,43,NA,NA,97,72,174,NA,285,NA,98,902,1436,123,NA,NA,NA,NA,NA
6-Apr,Indian Wells,NA,NA,32,NA,2,45,NA,NA,98,69,170,NA,296,NA,93,816,1458,112,NA,NA,NA,NA,NA
6-May,Indian Wells,NA,NA,28,NA,2,45,NA,NA,98,68,172,NA,286,NA,96,765,1482,113,NA,NA,NA,NA,NA
6-Jun,Indian Wells,NA,NA,34,NA,2,47,NA,NA,97,66,177,NA,234,NA,95,560,1433,107,NA,NA,NA,NA,NA
6-Jul,Indian Wells,NA,NA,28,NA,15,51,NA,NA,189,78,196,NA,236,NA,134,558,2282,130,NA,NA,NA,NA,NA
6-Aug,Indian Wells,NA,NA,32,NA,16,51,NA,NA,189,81,194,NA,237,NA,139,542,2318,125,NA,NA,NA,NA,NA
6-Sep,Indian Wells,NA,NA,28,NA,15,53,NA,NA,182,79,190,NA,247,NA,143,569,2371,129,NA,NA,NA,NA,NA
6-Oct,Indian Wells,NA,NA,30,NA,2,42,NA,NA,91,67,153,NA,235,NA,101,655,1472,118,NA,NA,NA,NA,NA
6-Nov,Indian Wells,NA,NA,33,NA,2,46,NA,NA,92,65,150,NA,292,NA,104,856,1505,128,NA,NA,NA,NA,NA
6-Dec,Indian Wells,NA,NA,35,NA,2,47,NA,NA,88,64,147,NA,289,NA,105,884,1519,126,NA,NA,NA,NA,NA
6-Jan,Indio,1081,NA,4996,536,340,1621,35,NA,151,308,444,NA,1120,147,690,199,1117,707,NA,2479,NA,NA,NA
6-Feb,Indio,880,NA,5048,533,347,1637,36,NA,151,314,453,NA,1134,167,691,227,1146,726,NA,2490,NA,NA,NA
6-Mar,Indio,963,NA,5069,540,341,1665,34,NA,142,331,467,NA,1135,166,713,233,1197,731,NA,2484,NA,NA,NA
6-Apr,Indio,1378,NA,5243,552,346,1716,38,NA,145,346,460,NA,1139,169,713,245,1105,734,NA,2491,NA,NA,NA
6-May,Indio,1360,NA,5198,565,353,1733,39,NA,154,360,451,NA,1215,155,720,245,1113,733,NA,2497,NA,NA,NA
6-Jun,Indio,2485,NA,5310,586,363,1745,58,NA,149,376,476,NA,1226,144,732,199,1114,738,NA,2533,NA,NA,NA
6-Jul,Indio,1678,NA,6014,756,477,2149,116,NA,249,536,568,NA,1735,120,917,270,1436,825,NA,2599,NA,NA,NA
6-Aug,Indio,1591,NA,5872,750,489,2157,98,NA,251,546,559,NA,1741,117,918,275,1417,819,NA,2623,NA,NA,NA
6-Sep,Indio,1446,NA,5668,748,495,2175,98,NA,253,574,571,NA,1769,139,960,279,1441,837,NA,2593,NA,NA,NA
6-Oct,Indio,1111,NA,4451,553,312,1699,30,NA,142,489,480,NA,1320,141,726,220,1109,686,NA,2474,NA,NA,NA
6-Nov,Indio,1084,NA,3961,554,316,1730,27,NA,142,493,454,NA,1283,143,729,256,1124,711,NA,2501,NA,NA,NA
6-Dec,Indio,1186,NA,3753,569,307,1751,26,NA,132,498,458,NA,1237,140,730,261,1120,729,NA,2496,NA,NA,NA
6-Jan,La Quinta,214,NA,786,3,80,2305,15,NA,95,99,190,NA,341,28,152,422,3357,278,NA,1873,NA,NA,NA
6-Feb,La Quinta,185,NA,791,3,82,2285,20,NA,92,97,206,NA,347,30,148,447,3422,280,NA,1872,NA,NA,NA
6-Mar,La Quinta,82,NA,804,3,81,2322,16,NA,90,97,208,NA,338,29,149,451,3441,285,NA,1869,NA,NA,NA
6-Apr,La Quinta,47,NA,735,2,80,2336,14,NA,85,99,204,NA,338,29,144,451,3396,238,NA,1900,NA,NA,NA
6-May,La Quinta,55,NA,755,4,84,2329,14,NA,87,98,183,NA,336,30,141,430,3469,237,NA,1901,NA,NA,NA
6-Jun,La Quinta,59,NA,755,4,84,2260,13,NA,89,100,187,NA,326,37,145,322,3679,238,NA,1902,NA,NA,NA
6-Jul,La Quinta,67,NA,1066,13,38,2543,15,NA,169,146,609,NA,326,37,202,314,3699,264,NA,1821,NA,NA,NA
6-Aug,La Quinta,61,NA,1060,9,38,2535,15,NA,167,142,681,NA,329,34,200,314,3633,262,NA,1824,NA,NA,NA
6-Sep,La Quinta,111,NA,1163,11,37,2518,16,NA,161,137,720,NA,339,30,208,333,3762,276,NA,1814,NA,NA,NA
6-Oct,La Quinta,132,NA,796,3,81,2304,17,NA,84,95,196,NA,357,31,148,342,3429,251,NA,2018,NA,NA,NA
6-Nov,La Quinta,145,NA,843,3,77,2524,16,NA,80,95,178,NA,360,34,153,437,3508,253,NA,2019,NA,NA,NA
6-Dec,La Quinta,162,NA,810,2,74,2670,15,NA,83,97,222,NA,367,37,160,443,3561,247,NA,2023,NA,NA,NA
6-Jan,Palm Desert,NA,NA,3092,347,287,4333,235,675,604,496,1020,NA,1614,168,3842,1829,4736,1860,NA,1405,NA,NA,NA
6-Feb,Palm Desert,NA,NA,3181,357,291,4209,231,679,615,493,1039,NA,1750,196,3894,1885,4753,1900,NA,1395,NA,NA,NA
6-Mar,Palm Desert,NA,NA,3132,372,294,4206,255,685,619,491,1046,NA,1931,191,3959,1897,4916,1925,NA,1395,NA,NA,NA
