DATE,City,"Agriculture, Forestry, Fishing and Hunting",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Federal Government,Local Government,State Government,Not Elsewhere Classified,"Mining, Quarrying, and Oil and Gas Extraction"
17-May,Rancho Mirage,NA,NA,168,20,75,1063,12,118,139,207,374,NA,***,267,109,5922,950,3213,***,***,NA,***,NA
17-Jun,Rancho Mirage,NA,NA,167,20,74,1050,17,120,141,201,383,NA,***,267,100,5915,648,3148,***,***,NA,***,NA
17-Jul,Rancho Mirage,NA,NA,184,15,63,1059,15,118,148,201,369,NA,***,87,5938,625,3017,314,***,***,NA,***,NA
17-Aug,Rancho Mirage,NA,NA,206,17,73,1063,14,117,130,201,370,NA,***,93,5914,592,3113,306,***,***,NA,***,NA
17-Sep,Rancho Mirage,NA,NA,239,18,70,1067,13,116,132,211,369,NA,***,98,5900,625,3113,307,***,***,NA,***,NA
17-Oct,Rancho Mirage,NA,NA,224,23,67,1087,13,112,135,207,391,NA,***,109,5952,721,3082,309,***,***,NA,***,NA
17-Nov,Rancho Mirage,NA,NA,194,22,72,1183,12,120,131,202,384,NA,***,109,5973,1035,3084,314,***,***,NA,***,NA
17-Dec,Rancho Mirage,NA,NA,191,23,66,1203,11,127,133,205,394,NA,***,104,5987,1041,3149,315,***,***,NA,***,NA
18-Jan,Cathedral City,***,***,1113,36,113,2206,49,***,***,156,111,***,873,***,365,166,1478,601,***,923,148,19,NA
18-Feb,Cathedral City,***,***,1211,33,123,2185,49,***,***,157,118,***,872,***,359,162,1502,579,***,932,148,18,NA
18-Mar,Cathedral City,***,***,1282,33,122,2152,50,***,***,158,114,***,850,***,363,159,1471,690,***,928,148,16,NA
18-Apr,Cathedral City,***,***,1355,35,123,2187,33,***,***,169,105,***,882,***,396,167,1404,672,***,930,146,14,NA
18-May,Cathedral City,***,***,1422,33,119,2171,34,***,***,171,105,***,870,***,396,160,1396,537,***,924,154,14,NA
18-Jun,Cathedral City,***,***,1431,30,121,2126,32,***,***,174,102,***,824,***,393,173,1385,522,***,927,153,13,NA
18-Jul,Cathedral City,***,***,1317,34,121,2137,75,62,***,166,110,51,867,***,347,169,1410,529,***,913,154,3,NA
18-Aug,Cathedral City,***,***,1207,34,119,2134,74,59,***,162,115,56,879,***,399,162,1388,521,***,918,156,3,NA
18-Sep,Cathedral City,***,***,1233,34,121,2110,74,55,***,158,113,52,839,***,406,163,1383,474,***,917,159,3,NA
18-Oct,Cathedral City,***,***,1187,35,120,2168,76,61,***,163,108,57,917,***,386,187,1383,480,***,931,160,0,NA
18-Nov,Cathedral City,***,***,1206,30,124,2191,75,59,***,167,120,58,939,***,369,187,1447,536,***,933,158,0,NA
18-Dec,Cathedral City,***,***,1287,29,123,2185,73,63,***,174,116,55,914,***,362,178,1404,449,***,948,162,0,NA
18-Jan,Coachella,2885,NA,267,812,248,1066,38,17,69,54,36,***,96,***,105,NA,639,79,***,1734,NA,NA,NA
18-Feb,Coachella,2598,NA,277,830,253,1038,46,17,70,53,41,***,106,***,106,NA,642,80,***,1744,NA,NA,NA
18-Mar,Coachella,2476,NA,282,841,259,1052,40,18,66,52,43,***,99,***,104,NA,633,86,***,1739,NA,NA,NA
18-Apr,Coachella,1925,NA,275,815,256,1110,46,11,67,55,41,***,602,***,165,NA,679,59,***,1745,NA,NA,NA
18-May,Coachella,2015,NA,273,834,254,1106,45,11,70,56,40,***,131,***,165,NA,680,57,***,1740,NA,NA,NA
18-Jun,Coachella,2597,NA,260,837,256,1105,59,11,68,54,38,***,116,***,168,NA,669,66,***,1736,NA,NA,NA
18-Jul,Coachella,3199,NA,280,834,252,1119,51,***,70,52,39,***,137,***,165,NA,679,59,***,1726,NA,NA,NA
18-Aug,Coachella,1577,NA,287,904,251,1112,40,***,73,54,38,***,123,***,175,NA,673,63,***,1721,NA,NA,NA
18-Sep,Coachella,1910,NA,298,823,256,1111,47,***,66,53,40,***,121,***,174,NA,666,63,***,1719,NA,NA,NA
18-Oct,Coachella,1998,NA,280,828,248,1100,54,***,73,53,39,***,135,***,182,NA,654,64,***,1728,NA,NA,NA
18-Nov,Coachella,2018,NA,278,847,261,1106,50,***,69,56,38,***,120,***,184,NA,643,65,***,1728,NA,NA,NA
18-Dec,Coachella,2271,NA,252,830,261,1128,54,***,68,55,38,***,115,***,186,NA,646,61,***,1718,NA,NA,NA
18-Jan,Desert Hot Springs,***,NA,115,10,23,457,83,15,68,42,15,***,113,***,325,27,697,38,***,***,NA,***,NA
18-Feb,Desert Hot Springs,***,NA,110,9,23,458,82,15,72,43,15,***,113,***,340,28,708,37,***,***,NA,***,NA
18-Mar,Desert Hot Springs,***,NA,112,9,24,473,82,16,74,41,16,***,97,***,343,32,761,35,***,***,NA,***,NA
18-Apr,Desert Hot Springs,***,NA,96,9,26,478,76,18,73,42,16,***,93,***,445,27,755,43,***,***,NA,***,NA
18-May,Desert Hot Springs,***,NA,106,10,27,478,77,19,72,44,16,***,97,***,460,27,736,43,***,***,NA,***,NA
18-Jun,Desert Hot Springs,***,NA,112,9,24,475,79,20,72,44,16,***,96,***,453,27,735,39,***,***,NA,***,NA
18-Jul,Desert Hot Springs,***,NA,116,9,23,463,78,17,70,46,15,***,102,***,409,26,746,45,***,***,NA,***,NA
18-Aug,Desert Hot Springs,***,NA,118,11,21,468,76,16,67,45,14,***,109,***,442,28,717,43,***,***,NA,***,NA
18-Sep,Desert Hot Springs,***,NA,121,11,22,474,73,16,71,41,15,***,121,***,449,27,784,46,***,***,NA,***,NA
18-Oct,Desert Hot Springs,***,NA,131,12,20,488,69,18,67,54,17,***,163,***,446,25,732,43,***,***,NA,***,NA
18-Nov,Desert Hot Springs,***,NA,133,12,22,490,66,15,64,56,14,***,166,***,453,26,765,45,***,***,NA,***,NA
18-Dec,Desert Hot Springs,***,NA,113,10,21,487,63,16,65,53,16,***,149,***,453,23,751,40,***,***,NA,***,NA
18-Jan,Indian Wells,***,NA,10,***,***,63,NA,NA,190,66,142,NA,209,NA,142,1194,1394,126,NA,***,NA,15,NA
18-Feb,Indian Wells,***,NA,11,***,***,67,NA,NA,190,66,141,NA,229,NA,146,1298,1524,125,NA,***,NA,15,NA
18-Mar,Indian Wells,***,NA,10,***,***,66,NA,NA,188,67,141,NA,215,NA,147,1464,2013,128,NA,***,NA,15,NA
18-Apr,Indian Wells,***,NA,4,***,***,67,NA,NA,179,65,131,NA,209,NA,136,1131,1466,132,NA,***,NA,8,NA
18-May,Indian Wells,***,NA,5,***,***,62,NA,NA,177,66,125,NA,204,NA,140,1034,1431,134,NA,***,NA,8,NA
18-Jun,Indian Wells,***,NA,5,***,***,56,NA,NA,177,64,121,NA,199,NA,148,714,1400,118,NA,***,NA,6,NA
18-Jul,Indian Wells,***,NA,5,***,***,49,NA,NA,171,62,122,NA,209,NA,135,659,1296,143,NA,***,NA,2,NA
18-Aug,Indian Wells,***,NA,6,***,***,47,NA,NA,171,65,121,NA,230,NA,134,659,1310,139,NA,***,NA,3,NA
18-Sep,Indian Wells,***,NA,5,***,***,50,NA,NA,177,68,115,NA,177,NA,139,722,1317,123,NA,***,NA,3,NA
18-Oct,Indian Wells,***,NA,7,***,***,43,NA,NA,179,65,94,NA,209,NA,150,852,1352,121,NA,***,NA,.,NA
18-Nov,Indian Wells,***,NA,7,***,***,49,NA,NA,181,66,88,NA,196,NA,145,1223,1378,128,NA,***,NA,.,NA
18-Dec,Indian Wells,***,NA,6,***,***,45,NA,NA,175,71,105,NA,186,NA,153,1263,1413,129,NA,***,NA,.,NA
18-Jan,Indio,543,***,2083,382,569,2849,176,***,183,188,216,***,1006,61,1528,745,1844,417,257,3178,101,40,***
18-Feb,Indio,457,***,2192,397,582,2851,183,***,183,185,235,***,1033,58,1557,786,1923,427,258,3202,100,50,***
18-Mar,Indio,444,***,2104,396,577,2824,179,***,175,189,237,***,1003,60,1557,772,1910,442,257,3206,101,47,***
18-Apr,Indio,536,***,2123,364,500,2829,175,***,186,188,240,***,989,62,1518,485,1906,445,255,3264,100,39,***
18-May,Indio,562,***,2151,378,499,2874,174,***,185,184,211,***,967,59,1524,441,1853,445,255,3293,99,42,***
18-Jun,Indio,579,***,2191,378,504,2820,202,***,179,177,210,***,983,52,1503,413,1791,431,253,3318,99,32,***
18-Jul,Indio,523,***,2208,397,574,2784,175,***,176,193,211,***,975,33,1625,510,1738,420,254,3137,123,6,***
18-Aug,Indio,305,***,2178,398,586,2767,166,***,182,196,219,***,974,31,1619,505,1726,410,254,3187,99,4,***
18-Sep,Indio,297,***,2224,401,603,2729,168,***,182,195,210,***,955,59,1629,526,1720,407,253,3194,97,4,***
18-Oct,Indio,551,***,2286,390,608,2830,171,***,182,202,216,***,966,61,1512,594,1855,403,253,3215,100,.,***
18-Nov,Indio,719,***,2223,390,595,2872,171,***,178,200,208,***,955,63,1508,726,1928,426,250,3206,102,.,***
18-Dec,Indio,570,***,2186,388,592,2834,171,***,177,205,206,***,916,63,1551,661,1894,423,248,3214,101,.,***
18-Jan,La Quinta,7,NA,356,64,77,2704,30,103,162,179,293,NA,297,64,776,1041,3425,266,***,***,NA,26,NA
18-Feb,La Quinta,7,NA,370,73,77,2631,40,99,159,181,301,NA,296,62,769,1039,3507,263,***,***,NA,25,NA
18-Mar,La Quinta,7,NA,357,79,74,2593,42,111,161,181,303,NA,469,63,760,1029,3503,271,***,***,NA,23,NA
18-Apr,La Quinta,8,NA,311,84,82,2633,40,107,163,187,307,NA,473,60,762,1007,3632,274,***,***,NA,29,NA
18-May,La Quinta,7,NA,340,85,78,2636,40,111,158,189,296,NA,276,61,718,936,3479,271,***,***,NA,26,NA
18-Jun,La Quinta,7,NA,333,82,70,2574,38,124,162,184,298,NA,255,61,687,738,3256,264,***,***,NA,21,NA
18-Jul,La Quinta,8,NA,340,79,70,2597,38,120,159,174,313,NA,243,57,811,633,3139,270,***,***,NA,12,NA
18-Aug,La Quinta,8,NA,355,82,70,2602,36,119,155,170,315,NA,241,55,789,621,2944,270,***,***,NA,11,NA
18-Sep,La Quinta,8,NA,346,88,118,2617,34,109,155,170,305,NA,236,54,802,654,3180,272,***,***,NA,3,NA
18-Oct,La Quinta,6,NA,374,84,75,2653,40,116,163,187,322,NA,273,64,818,756,3388,276,***,***,NA,.,NA
18-Nov,La Quinta,6,NA,364,87,72,2874,35,120,159,188,314,NA,288,69,818,975,3670,278,***,***,NA,.,NA
18-Dec,La Quinta,6,NA,367,86,81,2825,41,109,162,189,299,NA,278,66,809,996,3713,281,***,***,NA,.,NA
18-Jan,Palm Desert,NA,***,1587,261,354,5897,246,208,668,692,1177,69,1988,293,3077,2092,6226,1461,***,1240,***,***,NA
18-Feb,Palm Desert,NA,***,1543,262,345,5678,239,214,652,702,1222,71,2015,313,3098,2102,6331,1470,***,1241,***,***,NA
18-Mar,Palm Desert,NA,***,1555,265,328,5650,252,200,659,726,1219,75,2165,305,3129,2081,6398,1463,***,1245,***,***,NA
18-Apr,Palm Desert,NA,***,1479,272,320,5552,231,123,663,680,1199,76,2305,323,3197,2096,6488,1487,***,1228,***,***,NA
18-May,Palm Desert,NA,***,1462,262,337,5504,225,122,641,689,1162,73,2168,309,3176,1920,6416,1459,***,1259,***,***,NA
18-Jun,Palm Desert,NA,***,1530,266,343,5400,202,118,645,687,1162,73,2055,279,3135,1411,6192,1442,***,1259,***,***,NA
18-Jul,Palm Desert,NA,***,1601,256,336,5280,205,196,645,708,1185,77,1993,208,3149,1378,5896,1400,***,1241,***,***,NA
18-Aug,Palm Desert,NA,***,1569,262,333,5309,203,185,643,707,1159,77,1999,191,3159,1374,5746,1397,***,1239,***,***,NA
18-Sep,Palm Desert,NA,***,1604,261,329,5298,208,185,624,709,1159,77,1959,249,3112,1392,5863,1391,***,1238,***,***,NA
18-Oct,Palm Desert,NA,***,1661,276,348,5477,201,178,606,712,1218,75,2097,280,3195,1574,6160,1421,***,1241,***,***,NA
18-Nov,Palm Desert,NA,***,1637,286,348,6099,213,182,590,712,1195,69,2134,295,3191,2087,6387,1459,***,1245,***,***,NA
18-Dec,Palm Desert,NA,***,1576,284,351,6230,218,181,586,732,1206,72,2062,305,3168,2102,6395,1475,***,1278,***,***,NA
18-Jan,Palm Springs,***,72,1044,347,268,2817,1020,185,356,506,630,12,1322,104,5814,556,6980,739,176,3033,***,***,***
18-Feb,Palm Springs,***,73,1056,350,299,2822,967,186,359,503,657,12,1303,94,5811,475,7103,748,174,3022,***,***,***
18-Mar,Palm Springs,***,71,983,348,292,2884,979,190,358,512,655,11,1281,90,5757,611,7196,748,174,3022,***,***,***
18-Apr,Palm Springs,***,55,996,317,277,2875,988,193,340,521,657,11,1367,95,5904,623,7411,730,179,3047,***,***,***
18-May,Palm Springs,***,55,952,315,274,2886,957,195,345,512,631,11,1361,89,5903,611,7090,705,174,3032,***,***,***
18-Jun,Palm Springs,***,53,990,316,276,2887,914,193,338,508,623,11,1317,97,5867,596,6714,680,175,3025,***,***,***
18-Jul,Palm Springs,***,70,998,316,288,2911,916,258,339,492,666,***,1349,100,5906,588,6627,656,175,2951,***,***,***
18-Aug,Palm Springs,***,70,992,295,284,2934,947,256,337,504,664,***,1343,106,5936,583,6611,661,184,2972,***,***,***
18-Sep,Palm Springs,***,72,974,309,279,2916,1016,247,327,500,659,***,1257,121,5976,531,6794,670,188,2975,***,***,***
18-Oct,Palm Springs,***,70,998,313,301,2918,1054,249,337,533,678,***,1326,109,6004,519,7250,759,179,3079,***,***,***
18-Nov,Palm Springs,***,69,974,317,322,2957,1117,249,335,546,666,***,1391,127,6039,451,7431,741,178,3098,***,***,***
18-Dec,Palm Springs,***,68,975,312,318,2969,1221,249,327,553,667,***,1471,124,6070,483,7400,742,178,3089,***,***,***
18-Jan,Rancho Mirage,NA,NA,148,28,67,1073,10,118,140,208,362,NA,268,99,5721,941,3001,379,***,***,NA,21,NA
18-Feb,Rancho Mirage,NA,NA,139,29,66,1077,14,121,145,207,372,NA,272,113,5714,960,3025,385,***,***,NA,21,NA
18-Mar,Rancho Mirage,NA,NA,142,29,63,1093,14,126,140,210,361,NA,263,100,5640,964,3187,383,***,***,NA,20,NA
18-Apr,Rancho Mirage,NA,NA,129,30,60,1145,12,129,136,198,377,NA,247,103,5682,958,3245,374,***,***,NA,27,NA
18-May,Rancho Mirage,NA,NA,138,31,69,1119,12,130,135,197,384,NA,244,101,5665,826,3215,365,***,***,NA,28,NA
18-Jun,Rancho Mirage,NA,NA,121,28,63,1097,14,126,137,203,378,NA,243,101,5646,575,3084,337,***,***,NA,24,NA
18-Jul,Rancho Mirage,NA,NA,122,19,58,1056,***,118,156,218,391,NA,244,***,5781,524,3014,331,***,***,NA,***,NA
18-Aug,Rancho Mirage,NA,NA,121,23,64,1059,***,119,152,207,394,NA,246,***,5776,501,2905,327,***,***,NA,***,NA
18-Sep,Rancho Mirage,NA,NA,132,26,64,1066,***,111,146,213,375,NA,258,***,5790,529,2879,363,***,***,NA,***,NA
18-Oct,Rancho Mirage,NA,NA,132,26,67,1098,***,130,145,240,406,NA,264,***,5850,656,3004,363,***,***,NA,***,NA
18-Nov,Rancho Mirage,NA,NA,133,27,69,1186,***,134,142,231,410,NA,269,***,5859,947,3103,357,***,***,NA,***,NA
18-Dec,Rancho Mirage,NA,NA,121,25,68,1188,***,139,139,236,394,NA,260,***,5846,944,3153,359,***,***,NA,***,NA
19-Jan,Cathedral City,30,***,1275,30,130,2163,82,61,***,190,136,***,903,***,339,188,1480,611,***,920,166,NA,NA
19-Feb,Cathedral City,29,***,1219,32,120,2223,88,57,***,191,148,***,891,***,313,180,1497,673,***,929,161,NA,NA
19-Mar,Cathedral City,38,***,1167,31,133,2198,89,57,***,192,144,***,876,***,307,184,1516,488,***,925,163,NA,NA
19-Apr,Cathedral City,41,***,1099,33,150,2211,73,61,***,187,142,***,869,***,334,188,1585,712,***,923,167,NA,NA
19-May,Cathedral City,43,***,1090,31,144,2221,81,59,***,194,124,***,883,***,327,183,1541,568,***,925,170,NA,NA
19-Jun,Cathedral City,51,***,1068,30,147,2164,78,70,***,185,123,***,831,***,338,183,1522,545,***,926,169,NA,NA
19-Jul,Cathedral City,52,***,1014,34,140,2142,79,79,***,171,111,***,866,***,304,188,1496,512,***,920,170,NA,NA
19-Aug,Cathedral City,52,***,1087,32,139,2136,77,73,***,172,116,***,860,***,331,181,1497,485,***,920,176,NA,NA
19-Sep,Cathedral City,58,***,1201,32,141,2129,76,71,***,173,106,***,826,***,326,178,1469,444,***,923,176,NA,NA
19-Oct,Cathedral City,63,***,1307,35,143,2194,85,71,***,167,103,***,892,***,339,184,1500,567,***,931,180,NA,NA
19-Nov,Cathedral City,56,***,1366,35,150,2211,83,78,***,177,102,***,880,***,349,186,1519,615,***,931,174,NA,NA
19-Dec,Cathedral City,53,***,1375,32,149,2166,88,76,***,173,111,***,860,***,345,189,1510,602,***,943,177,NA,NA
19-Jan,Coachella,2387,NA,267,821,257,1061,54,***,73,57,40,***,137,***,173,NA,680,65,***,1727,NA,NA,NA
19-Feb,Coachella,2414,NA,254,835,257,1072,51,***,76,56,42,***,143,***,170,NA,702,65,***,1743,NA,NA,NA
19-Mar,Coachella,2539,NA,252,812,254,1066,52,***,74,57,41,***,130,***,177,NA,717,63,***,1740,NA,NA,NA
19-Apr,Coachella,2180,NA,494,558,254,1112,44,***,77,49,41,***,576,***,180,NA,743,60,***,1795,NA,NA,NA
19-May,Coachella,2315,NA,446,560,253,1132,48,***,80,47,38,***,113,***,182,NA,760,57,***,1793,NA,NA,NA
19-Jun,Coachella,3365,NA,434,560,255,1112,48,***,79,48,38,***,122,***,186,NA,758,59,***,1793,NA,NA,NA
19-Jul,Coachella,3195,NA,409,809,257,1112,50,***,82,46,41,***,119,***,183,NA,726,64,***,1232,NA,NA,NA
19-Aug,Coachella,2328,NA,392,816,260,1102,63,***,78,46,41,***,115,***,187,NA,714,66,***,1788,NA,NA,NA
19-Sep,Coachella,2475,NA,374,738,259,1094,61,***,77,46,42,***,122,***,190,NA,707,65,***,1781,NA,NA,NA
19-Oct,Coachella,2757,NA,458,753,263,1086,61,***,78,46,40,***,137,***,187,NA,695,70,***,1822,NA,NA,NA
19-Nov,Coachella,3483,NA,503,726,263,1116,56,***,76,47,39,***,144,***,191,NA,702,64,***,1827,NA,NA,NA
19-Dec,Coachella,3209,NA,478,727,263,1116,60,***,78,46,41,***,131,***,193,NA,701,63,***,1811,NA,NA,NA
19-Jan,Desert Hot Springs,7,NA,120,***,22,497,65,18,70,50,13,***,144,***,445,26,742,56,***,***,NA,NA,NA
19-Feb,Desert Hot Springs,7,NA,116,***,21,490,65,18,71,49,12,***,144,***,437,24,783,50,***,***,NA,NA,NA
19-Mar,Desert Hot Springs,7,NA,111,***,15,483,64,18,69,52,14,***,138,***,433,22,782,54,***,***,NA,NA,NA
19-Apr,Desert Hot Springs,***,NA,124,***,35,459,59,18,58,42,11,***,131,***,398,23,798,53,***,***,NA,NA,NA
19-May,Desert Hot Springs,***,NA,119,***,33,410,68,19,58,43,10,***,123,***,396,22,756,49,***,***,NA,NA,NA
19-Jun,Desert Hot Springs,***,NA,123,***,33,422,59,16,55,42,12,***,125,***,402,22,752,53,***,***,NA,NA,NA
19-Jul,Desert Hot Springs,***,NA,145,***,29,518,60,17,56,61,31,***,84,***,409,20,737,55,***,***,NA,NA,NA
19-Aug,Desert Hot Springs,***,NA,153,***,31,504,61,17,56,56,30,***,87,***,431,22,733,50,***,***,NA,NA,NA
19-Sep,Desert Hot Springs,***,NA,141,***,30,523,62,19,56,58,34,***,122,***,423,21,745,54,***,***,NA,NA,NA
19-Oct,Desert Hot Springs,***,NA,128,***,30,525,65,20,54,56,40,***,165,***,407,21,748,51,***,***,NA,NA,NA
19-Nov,Desert Hot Springs,***,NA,125,***,30,478,61,20,54,51,36,***,151,***,411,22,753,49,***,***,NA,NA,NA
19-Dec,Desert Hot Springs,***,NA,123,***,30,483,60,21,54,42,36,***,149,***,422,22,750,51,***,***,NA,NA,NA
19-Jan,Indian Wells,***,NA,5,***,***,44,NA,NA,170,68,111,NA,201,***,150,1317,1544,127,NA,***,NA,NA,NA
19-Feb,Indian Wells,***,NA,5,***,***,45,NA,NA,171,68,112,NA,201,***,150,1450,1387,129,NA,***,NA,NA,NA
19-Mar,Indian Wells,***,NA,6,***,***,45,NA,NA,168,61,111,NA,211,***,154,1566,2022,136,NA,***,NA,NA,NA
19-Apr,Indian Wells,***,NA,6,***,***,42,NA,NA,172,70,113,NA,205,***,152,1203,1452,131,NA,***,NA,NA,NA
19-May,Indian Wells,***,NA,6,***,***,39,NA,NA,162,69,118,NA,208,***,151,1081,1414,131,NA,***,NA,NA,NA
19-Jun,Indian Wells,***,NA,6,***,***,36,NA,NA,166,67,121,NA,184,***,149,703,1388,125,NA,***,NA,NA,NA
19-Jul,Indian Wells,***,NA,9,***,***,36,NA,NA,169,65,119,NA,189,***,147,627,1306,123,NA,***,NA,NA,NA
19-Aug,Indian Wells,***,NA,7,***,***,30,NA,NA,169,66,116,NA,185,***,145,606,1254,123,NA,***,NA,NA,NA
19-Sep,Indian Wells,***,NA,9,***,***,36,NA,NA,132,65,117,NA,165,***,142,733,1278,124,NA,***,NA,NA,NA
19-Oct,Indian Wells,***,NA,9,***,***,43,NA,NA,129,65,123,NA,195,***,148,874,1326,126,NA,***,NA,NA,NA
19-Nov,Indian Wells,***,NA,6,***,***,43,NA,NA,129,66,126,NA,176,***,150,1220,1363,132,NA,***,NA,NA,NA
19-Dec,Indian Wells,***,NA,7,***,***,42,NA,NA,131,71,120,NA,160,***,152,1209,1350,131,NA,***,NA,NA,NA
19-Jan,Indio,663,***,2152,382,595,2986,168,323,187,214,221,NA,956,***,1646,744,2183,449,249,3187,102,NA,***
19-Feb,Indio,701,***,2164,394,595,2992,173,315,188,207,254,NA,987,***,1664,821,2117,469,246,3192,103,NA,***
19-Mar,Indio,652,***,2150,384,584,2941,171,317,189,209,246,NA,1017,***,1677,814,2242,482,248,3195,104,NA,***
19-Apr,Indio,341,***,2076,368,558,2861,176,***,188,216,248,NA,982,66,1707,637,2587,455,251,3210,108,NA,***
19-May,Indio,404,***,2036,365,569,2858,184,***,187,218,227,NA,951,66,1709,580,2088,465,245,3211,109,NA,***
19-Jun,Indio,479,***,2094,356,567,2835,220,***,187,211,211,NA,944,60,1704,533,1877,448,249,3268,106,NA,***
19-Jul,Indio,575,***,2112,368,561,2833,230,***,183,210,253,NA,2466,45,1732,509,1906,447,248,3177,109,NA,***
19-Aug,Indio,399,***,2209,367,576,2816,213,***,186,211,263,NA,2578,37,1756,517,1848,447,250,3279,110,NA,***
19-Sep,Indio,532,***,2331,371,570,2818,213,***,190,217,248,NA,2566,61,1757,529,1840,453,251,3275,113,NA,***
19-Oct,Indio,731,***,2246,437,599,2686,212,***,202,230,258,NA,2503,52,1843,521,1994,484,250,3250,111,NA,***
19-Nov,Indio,688,***,2219,446,595,2726,221,***,200,230,258,NA,2593,52,1892,634,2055,505,247,3263,110,NA,***
19-Dec,Indio,616,***,2094,452,593,2656,218,***,194,227,264,NA,2500,53,1895,584,1981,508,241,3266,110,NA,***
19-Jan,La Quinta,15,NA,376,82,70,2747,35,108,164,185,312,NA,286,69,792,975,3634,290,***,***,NA,NA,NA
19-Feb,La Quinta,15,NA,377,89,74,2715,42,111,160,183,311,NA,282,66,815,973,3671,280,***,***,NA,NA,NA
19-Mar,La Quinta,15,NA,357,88,81,2662,43,102,161,166,312,NA,481,62,814,976,3708,283,***,***,NA,NA,NA
19-Apr,La Quinta,15,NA,361,92,78,2650,29,111,153,174,297,NA,470,65,801,973,3732,295,***,***,NA,NA,NA
19-May,La Quinta,14,NA,366,93,71,2600,34,112,150,171,305,NA,276,63,799,899,3605,296,***,***,NA,NA,NA
19-Jun,La Quinta,15,NA,373,91,70,2531,23,117,151,166,293,NA,269,58,788,728,3500,293,***,***,NA,NA,NA
19-Jul,La Quinta,13,NA,366,79,65,2371,25,115,161,172,306,NA,276,53,805,529,3119,308,***,***,NA,NA,NA
19-Aug,La Quinta,13,NA,374,78,62,2374,25,115,157,176,298,NA,269,48,829,533,3070,302,***,***,NA,NA,NA
19-Sep,La Quinta,14,NA,385,81,60,2396,30,115,151,165,291,NA,270,52,837,545,3164,308,***,***,NA,NA,NA
19-Oct,La Quinta,14,NA,371,89,68,2644,32,128,163,193,305,NA,289,58,861,631,3426,310,***,***,NA,NA,NA
19-Nov,La Quinta,14,NA,357,84,69,2835,36,130,157,201,304,NA,293,59,790,946,3543,315,***,***,NA,NA,NA
19-Dec,La Quinta,14,NA,348,83,75,2797,34,131,161,192,301,NA,304,57,785,958,3594,319,***,***,NA,NA,NA
19-Jan,Palm Desert,***,***,1643,275,362,5866,231,190,607,715,1215,***,1991,292,3029,2258,6432,1493,***,1242,***,NA,NA
19-Feb,Palm Desert,***,***,1648,296,366,5749,229,186,602,720,1207,***,1989,306,3048,2314,6554,1519,***,1242,***,NA,NA
19-Mar,Palm Desert,***,***,1632,292,358,5613,225,186,609,717,1208,***,2132,319,3040,2297,6613,1501,***,1244,***,NA,NA
19-Apr,Palm Desert,***,***,1524,284,370,5341,226,179,613,721,1191,***,1873,321,3000,2221,6617,1483,***,1574,***,NA,NA
19-May,Palm Desert,***,***,1541,290,360,5231,220,179,600,721,1177,***,1841,298,2974,2015,6474,1465,***,1627,***,NA,NA
19-Jun,Palm Desert,***,***,1580,271,357,5141,184,178,585,710,1188,***,1788,275,2956,1498,6327,1421,***,1650,***,NA,NA
19-Jul,Palm Desert,***,***,1673,275,377,5197,177,179,616,745,1160,***,1509,212,3027,1440,5949,1341,***,1607,***,NA,NA
19-Aug,Palm Desert,***,***,1681,273,370,5186,180,174,624,746,1155,***,1508,201,3060,1429,5796,1329,***,1590,***,NA,NA
19-Sep,Palm Desert,***,***,1710,264,372,5156,193,170,619,738,1146,***,1527,266,3014,1471,5882,1339,***,1584,***,NA,NA
19-Oct,Palm Desert,***,***,1750,268,394,5537,203,169,665,746,1190,***,1692,289,3231,1839,6281,1391,***,1615,***,NA,NA
19-Nov,Palm Desert,***,***,1759,290,397,6107,212,173,672,761,1197,***,1709,308,3250,2160,6481,1459,***,1595,***,NA,NA
19-Dec,Palm Desert,***,***,1716,285,395,6176,210,170,662,762,1191,***,1691,321,3219,2169,6583,1452,***,1597,***,NA,NA
19-Jan,Palm Springs,***,59,993,306,307,2918,1164,248,321,539,669,***,1323,77,6032,551,7593,755,184,3100,***,NA,***
19-Feb,Palm Springs,***,58,965,299,306,2930,1130,251,324,548,676,***,1373,86,6063,465,7692,757,177,3110,***,NA,***
19-Mar,Palm Springs,***,59,1055,306,298,2894,1126,250,317,562,686,***,1371,90,6097,449,7597,750,180,3118,***,NA,***
19-Apr,Palm Springs,***,50,1065,298,252,2908,1101,242,329,551,625,4,1331,70,6076,451,7745,742,180,3162,***,NA,***
19-May,Palm Springs,***,62,1049,294,248,2890,1113,242,323,530,613,4,1350,84,6065,430,7518,743,178,3152,***,NA,***
19-Jun,Palm Springs,***,62,1079,281,249,2849,1103,239,329,513,616,4,1346,83,6014,429,7113,723,180,3121,***,NA,***
19-Jul,Palm Springs,***,61,1072,270,292,2726,1096,260,321,584,665,6,1389,61,6089,399,7121,736,181,2983,***,NA,***
19-Aug,Palm Springs,***,60,1113,267,297,2699,1128,262,318,573,655,6,1420,62,6113,402,6865,718,177,3003,***,NA,***
